universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,today_return_pct,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSPI200,298020,효성티앤씨,65.9,돌파 후 눌림목,,매도압력 확인,319000.0,314650.0,0.83,1.38,-2.2,-7.0,,,,Y,0.73,0.0,-2.74,-3.4,-5.8,-4.5,-2.9,-337727000,-576811750,-454862750,-293465000
KOSDAQ150,084370,유진테크,65.9,신규 돌파 유지,,,142500.0,136108.33,-5.25,4.7,3.87,-1.86,,2026-09-16,3,Y,0.92,0.0,3.71,3.4,-2.8,18.2,-19.5,343105400,-276215800,1817247850,-1950920500
KOSPI200,008730,율촌화학,65.8,60일선 근접·재돌파 대기,,,15000.0,14793.83,-4.1,1.39,0.25,-7.64,,,,Y,1.19,0.0,-0.66,-0.1,0.5,-1.3,0.8,-13507960,48421490,-127942335,75413460
KOSDAQ150,048410,현대바이오,65.8,신규 돌파,,,7080.0,6825.17,-12.88,3.73,4.97,-2.07,2026-09-21,2026-09-21,0,N,0.74,0.0,3.66,0.4,1.7,2.5,1.2,44404795,170588685,253929345,118726170
KOSPI200,011790,SKC,65.7,신규 돌파,,,88900.0,87060.0,-14.67,2.11,4.41,-3.47,,2026-09-18,1,N,0.71,0.0,1.48,-3.6,8.5,-21.7,19.8,-357670300,853037500,-2166234000,1983162200
KOSPI200,120110,코오롱인더,65.7,신규 돌파 유지,,,57600.0,54972.5,-6.74,4.78,6.32,0.0,,2026-09-17,2,Y,0.64,0.0,0.0,-19.7,1.1,-39.3,36.9,-1965302650,107199850,-3929382800,3685712800
KOSPI200,051600,한전KPS,65.3,돌파 후 눌림목,,매도압력 확인,46350.0,45629.17,-2.09,1.58,-1.19,-5.98,,,,Y,1.15,0.0,-1.49,-5.8,-2.7,-35.9,9.5,-584160050,-271355075,-3588222275,952125275
KOSDAQ150,388720,유일로보틱스,65.3,신규 돌파 유지,,,70400.0,67121.67,-8.07,4.88,2.79,-1.26,,2026-09-15,4,Y,0.74,0.0,1.0,3.1,-2.2,5.1,-3.6,311082400,-224729550,509530600,-361466450
KOSDAQ150,095340,ISC,65,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,199400.0,158741.67,-3.74,25.61,5.88,0.0,,,,Y,0.76,0.0,7.03,-13.4,83.7,-41.8,82.4,-1343841650,8365916300,-4177266350,8237658450
KOSPI200,000990,DB하이텍,65,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,132800.0,104440.0,-16.18,27.15,7.8,0.0,,2026-09-14,5,Y,1.39,0.0,5.48,-5.7,-9.6,-58.7,14.5,-566510800,-956876282,-5872621150,1454026418
KOSDAQ150,065350,신성델타테크,64.9,신규 돌파 유지,,,30800.0,29795.83,-10.3,3.37,0.63,-2.22,,2026-09-15,4,Y,0.76,0.0,-0.32,-7.4,-0.3,-10.9,-0.3,-740829875,-28006600,-1089588550,-30435650
KOSDAQ150,006730,서부T&D,64.9,돌파 후 눌림목,,추가 확인,11080.0,10550.0,1.28,5.02,-6.57,-5.14,,,,Y,0.91,0.0,-0.72,1.3,0.2,-4.7,-0.3,125122560,24990150,-473650905,-34716760
