period_type,universe,investor,code,name,sell_volume,buy_volume,net_volume,sell_value,buy_value,net_value,source
weekly,KOSPI200,foreign,267270,HD건설기계,85024,52921,-32103,11686113450,7265641000,-4420472450,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,006260,LS,38282,23941,-14341,12298999500,7691167500,-4607832000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,373220,LG에너지솔루션,102266,88915,-13351,36139833750,31443089750,-4696744000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,323410,카카오뱅크,471847,238292,-233555,9545634925,4814639525,-4730995400,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,005940,NH투자증권,333783,151028,-182755,8685865850,3929540950,-4756324900,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,009830,한화솔루션,578655,400923,-177732,16002234750,11059110400,-4943124350,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000810,삼성화재,34132,26533,-7599,22212652000,17261329500,-4951322500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,375500,DL이앤씨,109855,45202,-64653,9339310950,3829401300,-5509909650,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,086790,하나금융지주,233746,192771,-40975,31586371500,26039378150,-5546993350,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,096770,SK이노베이션,194784,153589,-41195,27279150200,21580224500,-5698925700,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,055550,신한지주,695508,640831,-54677,78515379750,72323886750,-6191493000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000270,기아,551204,497996,-53208,66066799500,59687713250,-6379086250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,082740,한화엔진,218828,90471,-128357,10994681650,4542433675,-6452247975,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,352820,하이브,94038,52329,-41709,15380290750,8542362450,-6837928300,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,278470,에이피알,68960,49490,-19470,25197957000,18090022500,-7107934500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,003230,삼양식품,11478,5918,-5560,14735952000,7587186500,-7148765500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,003670,포스코퓨처엠,88430,43953,-44477,15779264350,7848224800,-7931039550,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,051910,LG화학,99713,67772,-31941,25965744750,17625448500,-8340296250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,090430,아모레퍼시픽,117247,58924,-58323,17014540500,8549696500,-8464844000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,024110,기업은행,597446,174142,-423304,11987664950,3492727650,-8494937300,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,105560,KB금융,398978,350043,-48935,70665693550,61992141250,-8673552300,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,028050,삼성E&A,550063,372938,-177125,28398050150,19306074650,-9091975500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,042660,한화오션,215980,101809,-114171,17716882650,8341309150,-9375573500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,005490,POSCO홀딩스,86309,56486,-29823,27539888000,17999677750,-9540210250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,035720,카카오,475175,178154,-297021,15776173900,5912853200,-9863320700,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,267260,HD현대일렉트릭,31687,17846,-13841,22709069000,12780073500,-9928995500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,004020,현대제철,392026,67657,-324369,13815658075,2388291825,-11427366250,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,064350,현대로템,170890,70008,-100882,20484831850,8366815200,-12118016650,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,010140,삼성중공업,1303687,629964,-673723,26825927625,12959182625,-13866745000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,011070,LG이노텍,85382,57727,-27655,44372843000,29995735000,-14377108000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,047050,포스코인터내셔널,353281,64295,-288986,20391918750,3713124050,-16678794700,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,010060,OCI홀딩스,202929,103193,-99736,39406763650,20097228700,-19309534950,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,047040,대우건설,1962467,585311,-1377156,36140229955,10773144740,-25367085215,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,000150,두산,50369,29436,-20933,72395664564,42320770064,-30074894500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,006400,삼성SDI,101329,38974,-62355,54038377500,20778344500,-33260033000,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,079550,LIG디펜스앤에어로스페이스,75138,25544,-49594,55946998000,19012807500,-36934190500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,001440,대한전선,1578050,319422,-1258628,47765186875,9628030325,-38137156550,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,012450,한화에어로스페이스,80269,42727,-37542,86328254500,46146157000,-40182097500,KRX MDCSTAT02401_OUT
weekly,KOSPI200,foreign,272210,한화시스템,922522,409942,-512580,72099056950,31816353900,-40282703050,KRX MDCSTAT02401_OUT
